id,text,created_at,like_count,retweet_count,lang,username
914325641406885888,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,Sun Oct 01 03:06:34 +0000 2017,0,3525,en,lucykpick
914325648155570176,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",Sun Oct 01 03:06:36 +0000 2017,0,639,en,chhrismoura
914325658360090625,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 03:06:38 +0000 2017,0,4586,en,Innrdreams
914325674730672128,"If you have extra blankets, pillows, diapers, the 2nd- MD Suburbs Hurricane Maria Relief Efforts (@Rockville)... https://t.co/PYDdiG3yZe",Sun Oct 01 03:06:42 +0000 2017,0,0,en,All_Eco_Center
914325679419924482,"RT @TomthunkitsMind: 9 Days Hurricane Maria, FEMA ASSESSMENT Teams Finally Arrive In PR To Assess The Needs. https://t.co/sjGuowdnCq",Sun Oct 01 03:06:43 +0000 2017,0,9,en,butte_tocks
914325687158284289,RT @CBPFlorida: U.S. Customs and Border Protection Air and Marine Operations delivering supplies supporting response efforts in Puerto Rico…,Sun Oct 01 03:06:45 +0000 2017,0,1583,en,TJEstes1210
914325688953565184,RT @brontyman: 'As If Puerto Rico Did Not Exist.' Hurricane Maria Is a Reminder of 'Second-Class' Status for Some - TIME https://t.co/LFgsQ…,Sun Oct 01 03:06:46 +0000 2017,0,3,en,LeeKowal
914325690232709122,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/1VlPfNHDZl https://t.co/zq39LCr9Ik,Sun Oct 01 03:06:46 +0000 2017,0,155,en,Crystal82028223
914325695156948992,"RT @PressSec: ""It is not the critic who counts...credit belongs to the man actually in the arena"" -TR
Proud of our military &amp; first respond…",Sun Oct 01 03:06:47 +0000 2017,0,1086,en,904ruth
914325709706973187,RT @4ReUnitedStates: @fema @DeptofDefense @USCG @USCGSoutheast @USACEHQ @DVIDSHub @USNavy @USMC @USFleetForces 12. They've lifted all roami…,Sun Oct 01 03:06:51 +0000 2017,0,12,en,DrMom25MA
914325713838370816,RT @thehill: Anti-Trump chef feeds thousands in Puerto Rico after Hurricane Maria https://t.co/mCmmqC3OIM https://t.co/PotZ6VQdMp,Sun Oct 01 03:06:52 +0000 2017,0,122,en,SandyLynnWallis
914325719643287552,"RT @ABC: Harrowing drone footage shows a neighborhood of San Juan, Puerto Rico, in aftermath of Hurricane Maria. ""Ghost town covered in sew…",Sun Oct 01 03:06:53 +0000 2017,0,4585,en,SandyGu07044409
914325726312173568,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",Sun Oct 01 03:06:55 +0000 2017,0,639,en,Ediomar1996
914325727448899584,RT @CDCgov: There was no evidence of cholera in Puerto Rico or the U.S. Virgin Islands before Hurricane #Maria made landfall.  #MariaPR,Sun Oct 01 03:06:55 +0000 2017,0,156,en,pattonmat
914325727847358464,"P.S. plans were under way 9/17 for 9/20 hit by Maria, to a non-tax paying island more than 2,000 miles away. Pay attention. https://t.co/hUcWlviDOa",Sun Oct 01 03:06:55 +0000 2017,0,0,en,freedfried
914325729965412352,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,Sun Oct 01 03:06:56 +0000 2017,0,3525,en,BriDomonique
914325741612834821,RT @CNN: More than 95% of customers are without regular electricity service in Puerto Rico 10 days after Hurricane Maria hit https://t.co/8…,Sun Oct 01 03:06:58 +0000 2017,0,601,en,FFFFFrench
914325748965666816,"RT @CCCINNC: @ihatematt @robbystarbuck @HouseCracka em San Juan Mayor @CarmenYulinCruz, 3 times arrested @RepGutierrez bash @POTUS #Hurrica…",Sun Oct 01 03:07:00 +0000 2017,0,3,en,HouseCracka
914325752467910656,"RT @RedNationRising: Puerto Rican truck driver union is on strike refusing to deliver federal aid, demanding higher wages. President Trump…",Sun Oct 01 03:07:01 +0000 2017,0,275,en,javadisciple
914325753277370370,"RT @NBCNews: ""Nothing is the way it was.""

Puerto Ricans document their struggles in the days after Hurricane Maria. https://t.co/MsFcNF7CfN",Sun Oct 01 03:07:01 +0000 2017,0,398,en,edielps3
914325756842582021,RT @USNationalGuard: RT @DeptofDefense: #Military in #PuertoRico will remain until all needs are met: https://t.co/sFYPRCjldi #HurricaneMar…,Sun Oct 01 03:07:02 +0000 2017,0,738,en,dlwood1988
914325766975950849,RT @foodandwine: How @ChefJoseAndres is helping feed victims of Hurricane Maria: https://t.co/P137uG8n77 #ChefsForPuertoRico https://t.co/s…,Sun Oct 01 03:07:04 +0000 2017,0,59,en,chef_perez1
914325769811255296,"RT @DenbrotS: Trump's Fake News About Puerto Ricans Slanders Them While They Dig Out&amp; Await Help.
Trump's Cruelty Knows No Bounds

https://…",Sun Oct 01 03:07:05 +0000 2017,0,33,en,bureaucatliu
914325775205011456,ETX woman returns from Dominica after surviving Hurricane Maria https://t.co/vNRIb3pASv https://t.co/TQQh1woaT8,Sun Oct 01 03:07:06 +0000 2017,0,0,en,UBICANDOME_US
914325794981400576,"RT @JohnMoralesNBC6: ""In more than 60 years of data, no Atlantic hurricane was a disaster as epic as Maria slamming into Puerto Rico.” http…",Sun Oct 01 03:07:11 +0000 2017,0,104,en,facostatoro
914325828921548800,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",Sun Oct 01 03:07:19 +0000 2017,0,639,en,BeyHiveAddicts
914325831509512192,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",Sun Oct 01 03:07:20 +0000 2017,0,639,en,LadyGagaSun
914325843140382721,"RT @Reuters: Hurricane Maria power outage puts old, vulnerable at risk in Puerto Rico https://t.co/oQcrcAnWnB https://t.co/NgGIVrfLkQ",Sun Oct 01 03:07:23 +0000 2017,0,75,en,AngelaH58
914325846139314176,"RT @PopCrave: Lady Gaga will be donating $1M to relief efforts for Hurricane Harvey, Irma, José, Maria, and the Mexico City earthquake. htt…",Sun Oct 01 03:07:23 +0000 2017,0,639,en,umbra_jeremy
914325856205574144,RT @CBPFlorida: U.S. Customs and Border Protection Air and Marine Operations delivering supplies supporting response efforts in Puerto Rico…,Sun Oct 01 03:07:26 +0000 2017,0,1584,en,DwightWilkes1
914325857082253313,RT @DeptofDefense: #Military in #PuertoRico will remain until all needs are met: https://t.co/cF0FyD3wNH #HurricaneMaria #ReliefEfforts htt…,Sun Oct 01 03:07:26 +0000 2017,0,173,en,mabelcid97
914325869807771650,RT @SamaritansPurse: The people of #PuertoRico are in desperate need after #HurricaneMaria devastated the island. See how you can help. htt…,Sun Oct 01 03:07:29 +0000 2017,0,69,en,AboutThWorldNow
914325878389317632,"RT @RedNationRising: Puerto Rican truck driver union is on strike refusing to deliver federal aid, demanding higher wages. President Trump…",Sun Oct 01 03:07:31 +0000 2017,0,275,en,ZamaryahY
914325878607400960,RT @AdamSchefter: Help friends find Irma+Tony Soto from Utuado Puerto Rico. Family hasn’t heard from them since Hurricane Maria. Pls call o…,Sun Oct 01 03:07:31 +0000 2017,0,505,en,MusicGorilla
